"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"EXOSC8",6.14455271333333,3.54493425769231,3.45304117408972,0.00200556802080441,0.00593995582939266,-1.96193658214372,"EXOSC8"
"AP1S1",6.32063679933333,3.64652123038462,3.45273992202576,0.00200707413739996,0.00593995582939266,-1.96265768535584,"AP1S1"
"PDCL3",7.3166301,4.22113275,3.45263985195281,0.00200757468347409,0.00593995582939266,-1.9628972170545,"PDCL3"
"FAM192A",7.124337998,4.11019499884615,3.45260971520807,0.00200772544993222,0.00593995582939266,-1.96296935309827,"FAM192A"
"IWS1",7.48738170733333,4.31964329269231,3.45235873902008,0.0020089814478363,0.00593995582939266,-1.96357008743863,"IWS1"
"FAM49A",6.61219908666666,3.81473024230769,3.45217711657594,0.0020098908451231,0.00593995582939266,-1.96400480797681,"FAM49A"
"NRDC",6.993116904,4.03449052153846,3.45197812405034,0.00201088767553006,0.00593995582939266,-1.9644810955224,"NRDC"
"CNPY4",6.53417518133333,3.76971645076923,3.45084100371886,0.00201659318497587,0.00593995582939266,-1.96720260687264,"CNPY4"
"CD1B",7.48878194533333,4.32045112230769,3.45071525023553,0.00201722512034335,0.00593995582939266,-1.96750355841524,"CD1B"
"CDH1",7.33319381733333,4.23068874076923,3.45044823043546,0.00201856758497876,0.00593995582939266,-1.96814257416176,"CDH1"
"OAS3",7.51966299666667,4.33826711346154,3.45024975784038,0.00201956598584135,0.00593995582939266,-1.96861753589187,"OAS3"
"POLD3",6.72803298066667,3.88155748884615,3.45013964987395,0.00202012008253491,0.00593995582939266,-1.96888102954889,"POLD3"
"PPM1F",6.70627112333333,3.86900257115385,3.44997092083776,0.00202096946522657,0.00593995582939266,-1.96928480065935,"PPM1F"
"WRNIP1",7.20094196733333,4.15438959653846,3.44993301893575,0.00202116031134854,0.00593995582939266,-1.96937549954878,"WRNIP1"
"COA7",7.08159008733333,4.08553274269231,3.44983707495691,0.00202164349308173,0.00593995582939266,-1.96960509104887,"COA7"
"FAM114A2",6.392999878,3.68826916038462,3.44953292094037,0.00202317598053168,0.00593995582939266,-1.97033290942172,"FAM114A2"
"RPL31",6.97366321321211,12.3432748938462,3.44895982344082,0.00202606661787344,0.00594300528039843,-1.97170423021419,"RPL31"
"TEX10",6.87683760999999,3.96740631346154,3.44839440933201,0.00202892243837576,0.00594594712762359,-1.97305708951859,"TEX10"
