"","gene","distance","Z","FC","p.value","p.adj","log2FC"
"555","GPNMB",1.21091805781055e-06,1.94035698857786,13.5390026434508,0.000233656529547932,0.0117026278782057,3.75904956095359
"804","OGN",1.20666705211353e-06,1.93847960872341,13.4441104204343,0.000245776535290982,0.0121044943630808,3.74890239197341
"420","PCOLCE",1.20453230999598e-06,1.93753453746312,13.3965839349077,0.000252082977784946,0.012211560645156,3.74379326210278
"344","TNXB",1.18227289360714e-06,1.92758700635531,12.9060287037653,0.00032752547454887,0.0156102867305147,3.68997323412414
"343","CCDC80",1.1754381728182e-06,1.92449797190305,12.7572404930161,0.00035463370217319,0.0166340093638377,3.6732443896965
"301","ADH1B",1.16716851841333e-06,1.92073818590462,12.578367859295,0.000390237379885403,0.0180179915243964,3.65287282838727
"120","CCN1",1.16287711000316e-06,1.9187774139089,12.4860424087988,0.000410003864431784,0.0186394064522449,3.64224436591132
"677","COL6A3",1.16116102853083e-06,1.9179914575704,12.4492177853248,0.000418166909359194,0.0187224729872185,3.63798319198512
"1494","KLF2",1.15277771173968e-06,1.91413648114349,12.2701056973727,0.000460272200831729,0.0203000649769815,3.61707577163217
"686","LTBP4",1.1342268328299e-06,1.90551335159783,11.8783740310648,0.00056789497303741,0.0246783771371404,3.57026546150897
"27","FBLN1",1.12362698685982e-06,1.90052760065522,11.6573942509441,0.000639478493151044,0.0266847476207171,3.54317343733974
"139","IGFBP4",1.12264244430394e-06,1.90006231221168,11.6369743560892,0.000646536814210236,0.0266847476207171,3.54064409738761
"626","EFNB2",1.12051343252697e-06,1.89905486734713,11.5928788146806,0.000662048455579421,0.0266847476207171,3.53516696459156
"100","SERPING1",1.12051001055433e-06,1.89905324665529,11.5928080070447,0.000662073663743316,0.0266847476207171,3.53515815279091
"1975","SC5D",1.12031994544211e-06,1.89896322211978,11.5888755094132,0.000663475191885515,0.0266847476207171,3.53466868058482
"1901","TFPI",1.11967554919598e-06,1.89865789834607,11.5755477449696,0.000668247486948584,0.0266847476207171,3.53300855707737
"51","MXRA8",1.11589138665377e-06,1.89686163453406,11.4974363089638,0.000696922485047112,0.0274587459108562,3.52324030069423
"1186","SELENOW",1.11231084641601e-06,1.8951568478618,11.4237714561398,0.000725103557789087,0.0279869079294952,3.51396711711282
"2869","DAB2",1.11179252666227e-06,1.89490964350447,11.4131273329781,0.000729269682088369,0.0279869079294952,3.51262225632819
"383","EMP1",1.10464948912325e-06,1.89149202009607,11.2669444682524,0.000788994905671594,0.0298907685417892,3.49402441268809
"212","FIBIN",1.09955440570456e-06,1.88904177918572,11.163248892806,0.000834336831052289,0.0312084219716394,3.48068505748547
"225","SFRP2",1.09706598811692e-06,1.88784128483733,11.1127786452137,0.000857349476029953,0.0316683462708564,3.47414768897305
"632","ITM2A",1.09506339840531e-06,1.88687334534385,11.0722450313106,0.000876295193423719,0.0317911036889312,3.46887587049858
"1310","AEBP1",1.09444852699166e-06,1.88657582354454,11.0598145261227,0.000882189679354435,0.0317911036889312,3.46725528656426
"417","KREMEN2",1.08858303373049e-06,1.88372987701733,10.9415861522294,0.000940296375693698,0.0334768167490949,3.45174998914971
"1361","KLF4",1.08664770339435e-06,1.88278774931955,10.9027158786483,0.000960233700079681,0.0337796498063745,3.44661565159644
"203","COL14A1",1.061778547575e-06,1.87054166528311,10.4093845959858,0.00125376519087115,0.0430835385660285,3.37981287374914
"115","GOLM1",1.06177071368471e-06,1.8705377662253,10.4092309939446,0.00125386948110946,0.0430835385660285,3.37979158502298
