"","GSM2109575","GSM2109576","GSM2109577","GSM2109578","GSM2109579","GSM2109580","GSM2109581","GSM2109582","GSM2109583","GSM2109584","GSM2109585","GSM2109586","GSM2109587","GSM2109588","GSM2109589","GSM2109590"
"CHMP6",36,75,47,18,33,43,110,41,32,58,17,17,28,47,36,45
"LOC100129503",0,27,3,3,6,10,19,14,16,10,1,3,7,6,10,13
"BAIAP2-DT",52,115,79,16,15,54,239,125,69,24,13,4,25,26,39,34
"BAIAP2",97,201,100,29,50,110,261,121,184,23,63,6,62,15,20,28
"LOC107987250",23,64,28,12,7,86,96,96,106,21,21,2,15,14,9,7
"AATK",17,52,20,6,3,18,27,9,20,1,9,3,9,0,8,5
"MIR657",0,0,0,0,0,0,4,4,1,0,2,0,0,0,0,0
"MIR3065",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MIR338",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MIR1250",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"PVALEF",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"CEP131",5,24,12,4,23,19,30,40,37,36,56,10,22,30,54,57
"TEPSIN",15,28,40,15,63,55,47,58,55,120,64,15,55,115,164,156
"LOC105371925",3,5,10,4,10,7,11,13,20,23,15,6,12,19,29,37
"NDUFAF8",7,16,20,12,33,13,39,38,9,30,35,6,54,68,50,60
"SLC38A10",88,130,137,65,121,119,204,184,160,251,194,48,184,161,239,334
"LINC00482",0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0
"LOC112268186",0,0,0,0,0,0,1,6,0,0,0,0,2,0,0,0
"LINC03048",1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
"BAHCC1",4,2,36,31,9,5,6,53,172,149,7,27,18,122,156,150
"MIR4740",0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
"MIR3186",0,0,0,1,0,0,0,1,6,1,0,0,0,1,6,6
"LOC105371926",0,1,5,1,1,0,0,0,6,5,0,2,4,9,2,3
"LOC112268189",2,0,6,4,2,1,1,4,16,10,0,4,3,16,24,20
"LINC01971",0,0,2,0,0,0,0,1,0,0,0,2,0,0,2,0
"ACTG1",569,799,2803,587,1322,1010,864,596,783,2060,3216,407,1907,2165,1742,2995
"FSCN2",11,18,14,1,3,15,56,14,13,14,42,0,19,6,20,26
"FAAP100",51,51,64,12,72,51,143,161,123,113,88,24,50,70,107,128
"NPLOC4",137,330,258,103,346,308,656,485,332,337,582,74,395,473,549,643
"TSPAN10",3,6,0,3,6,9,8,3,5,2,9,0,2,0,0,1
"PDE6G",0,4,0,3,0,2,0,1,7,3,2,0,0,13,25,13
