"","GSM2109575","GSM2109576","GSM2109577","GSM2109578","GSM2109579","GSM2109580","GSM2109581","GSM2109582","GSM2109583","GSM2109584","GSM2109585","GSM2109586","GSM2109587","GSM2109588","GSM2109589","GSM2109590"
"RPH3A",1,0,0,0,0,29,1,3,0,1,1,1,0,1,0,1
"MIR1302-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OAS1",10,26,16,13,100,329,24,53,14,64,228,12,206,109,615,117
"OAS3",110,164,104,40,221,502,129,200,89,148,592,58,416,149,956,330
"OAS2",34,73,41,68,109,247,74,74,63,144,368,48,329,254,1214,376
"DTX1",2,3,2,1,5,1,1,5,6,3,11,1,2,6,12,6
"RASAL1",28,60,2,4,53,1,7,11,13,7,94,0,48,5,18,9
"CFAP73",7,35,22,3,21,11,26,15,18,13,6,2,12,22,22,23
"DDX54",127,141,110,33,118,77,178,139,131,118,114,16,145,131,162,175
"MIR7106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RITA1",23,39,13,3,27,21,49,25,19,13,9,6,21,26,31,31
"IQCD",20,9,5,4,5,2,32,3,15,6,7,1,1,18,5,16
"TPCN1",690,561,172,145,111,157,1865,215,655,119,144,16,122,144,175,199
"MIR6762",2,1,0,1,2,0,2,0,1,0,0,0,0,0,0,0
"LOC107984436",1,8,2,2,3,1,5,2,2,4,3,0,2,1,0,4
"SLC8B1",138,113,58,50,88,59,89,40,149,222,86,47,89,347,266,382
"LOC105369989",0,1,3,0,2,1,0,0,2,2,3,0,0,0,2,0
"PLBD2",83,100,116,24,113,123,119,123,71,49,81,12,89,48,100,59
"SDS",4,2,1,1,10,13,2,6,0,1,33,0,6,0,5,2
"SDSL",2,7,2,2,27,6,20,21,1,3,13,0,16,5,1,4
"LHX5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHX5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105369990",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105369991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBM19",147,126,108,41,126,78,183,228,192,140,144,26,144,149,231,280
"LOC105369993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105369994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105369995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBX5",1,0,2,0,1,1,0,1,0,1,0,0,6,0,1,1
"TBX5-AS1",0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1
"LOC105369998",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TBX3",6,0,20,5,20,1,2,11,1,13,8,9,36,43,8,59
"TBX3-AS1",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"LOC105369999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LOC107984437",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC102723639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LOC105370003",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370002",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
"LINC02463",0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0
"MED13L",1428,1251,1536,668,909,1095,2261,1511,1751,1194,1350,177,1304,3813,3112,3384
"MIR620",3,0,4,1,0,0,2,1,4,0,0,1,3,6,1,2
"LOC107984438",66,50,35,23,32,31,90,44,71,64,46,8,49,141,119,146
"LOC105370005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR4472-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370008",0,0,0,0,0,1,8,0,2,2,24,0,0,1,1,0
"LINC02457",0,0,3,4,2,4,10,8,4,0,21,0,3,7,5,5
"LINC00173",11,26,39,23,27,82,187,149,93,25,60,6,45,46,49,28
"MAP1LC3B2",16,8,17,4,10,18,26,21,16,11,14,5,13,27,30,16
"SPRING1",98,99,139,55,218,86,216,188,118,157,140,21,305,472,360,544
"RNFT2",12,10,7,7,15,7,25,19,15,17,25,3,26,44,49,84
"HRK",3,12,12,4,7,1,126,0,22,49,10,12,56,207,104,311
"FBXW8",193,207,117,40,119,107,365,91,170,56,105,13,121,109,108,137
"LOC100506551",27,26,15,10,19,21,55,14,32,7,9,3,21,16,26,17
"TESC",62,43,13,6,29,6,126,3,32,2,15,1,12,6,7,22
"TESC-AS1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LOC105370010",2,4,2,0,0,4,3,0,3,0,0,0,0,0,3,1
"FBXO21",358,297,203,80,194,180,819,279,191,126,143,29,224,295,261,285
"NOS1",0,0,1,0,2,0,0,4,3,2,3,0,5,1,6,3
"KSR2",4,24,3,3,117,9,3,18,7,7,46,1,124,7,1,0
"LOC105370012",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LOC105370011",0,0,0,0,1,1,0,0,1,1,7,0,7,0,0,0
"RFC5",87,69,82,42,61,51,105,108,109,75,49,5,77,186,156,171
"WSB2",113,130,146,62,126,91,211,226,56,68,106,21,128,166,196,177
"VSIG10",110,176,224,34,58,31,235,104,39,4,29,1,75,33,33,26
"LOC101928274",13,21,10,6,6,1,24,18,2,1,11,0,10,5,8,3
"PEBP1",529,472,388,111,296,211,504,242,130,117,256,19,282,255,226,204
"TAOK3",186,170,145,142,104,123,94,131,241,292,130,41,139,637,600,580
"SUDS3",535,473,295,138,206,175,406,220,298,209,195,32,308,542,383,414
"LINC02460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRRM4",0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0
"LOC105370022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC112268101",0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0
"LOC105370024",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"HSPB8",42,9,14,17,68,242,29,949,19,122,327,22,143,104,151,182
"LOC107984440",0,0,0,1,7,7,0,44,1,26,66,5,9,18,11,11
"LOC105370026",0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1
"LOC105370025",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00934",0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"CCDC60",3,7,10,4,5,2,10,69,4,0,1,1,32,1,1,7
"LOC105370027",1,2,6,1,1,7,7,44,2,2,1,2,7,3,5,4
"TMEM233",3,2,6,1,5,11,18,169,5,7,2,0,7,7,12,10
"PRKAB1",143,129,110,38,95,66,277,138,98,47,64,7,70,118,111,118
"CIT",25,18,229,68,88,44,658,132,198,275,91,27,126,482,391,542
"MIR1178",0,0,3,0,1,1,5,0,1,6,2,0,1,1,1,1
"LOC112268087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BICDL1",18,16,22,29,87,26,36,65,31,189,71,48,51,172,253,353
"RAB35",75,68,83,41,130,82,178,148,111,84,124,19,151,127,191,201
"GCN1",414,480,515,183,420,356,714,778,599,413,513,107,523,560,691,827
"MIR4498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RPLP0",4925,1623,1102,1427,5842,3083,1874,4449,2347,1405,1712,167,4118,1628,3288,1932
"PXN-AS1",11,10,11,4,10,5,12,12,6,5,7,2,8,3,8,8
"PXN",300,308,233,76,200,244,206,352,173,137,182,46,135,107,162,189
"SIRT4",74,128,51,49,114,113,65,40,30,125,90,25,88,181,181,139
"RNU4-2",52,91,33,33,89,89,59,13,23,83,68,16,67,152,148,105
"RNU4-1",16,37,5,9,14,16,2,4,5,25,7,2,5,13,9,14
"PLA2G1B",0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"MSI1",2,0,0,0,3,1,1,0,1,4,1,0,1,2,2,2
"COX6A1",175,105,95,52,176,103,74,108,39,45,140,14,109,94,151,119
"TRIAP1",61,36,39,20,42,29,33,45,20,12,40,5,64,84,65,61
"GATC",262,148,234,68,142,99,273,209,194,136,131,18,191,346,286,294
"SRSF9",207,113,117,43,87,63,140,133,119,65,91,13,75,177,150,169
"DYNLL1",23,14,30,13,74,31,22,62,23,33,42,2,60,93,79,102
"LOC107987181",1,1,6,1,3,6,1,7,0,2,1,0,1,1,0,1
"NRAV",8,16,18,5,20,7,17,15,16,7,20,14,21,14,23,11
"COQ5",87,97,102,40,53,43,118,68,79,53,42,4,110,147,138,107
"RNF10",535,215,288,134,218,232,371,416,403,405,227,46,287,454,451,496
"POP5",49,47,41,14,48,20,45,50,28,27,31,4,33,74,63,49
"CABP1-DT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CABP1",5,4,2,1,1,0,1,0,12,6,2,0,1,0,2,0
"LOC105370029",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MLEC",584,451,479,182,354,309,397,414,526,389,263,95,280,541,504,610
"UNC119B",348,381,219,84,302,185,369,313,277,223,156,25,311,366,401,297
"MIR4700",7,2,5,1,5,4,11,8,4,1,2,0,4,4,3,5
"ACADS",8,14,12,10,15,13,16,21,15,30,12,4,22,26,35,29
"SPPL3",352,197,196,84,242,208,222,271,186,126,256,27,217,290,226,292
"XLOC_009911",0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1
"HNF1A-AS1",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"HNF1A",3,2,6,0,3,3,3,5,1,1,1,0,5,3,3,4
"C12orf43",48,28,30,11,29,16,38,37,30,16,23,2,26,25,22,42
"OASL",4,2,8,6,8,20,3,3,1,2,33,1,30,8,49,20
"LOC105378258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370031",0,4,3,0,1,0,2,0,1,2,2,0,3,3,4,1
"LOC105370030",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"LOC105370032",1,2,1,0,3,3,1,1,1,1,0,0,0,0,2,1
"P2RX7",21,3,31,17,16,65,8,18,23,26,24,10,28,26,39,39
"P2RX4",16,23,27,14,29,20,64,28,20,18,26,2,28,11,40,41
"CAMKK2",134,289,182,58,149,128,478,199,163,97,122,19,194,163,195,262
"ANAPC5",507,509,492,200,504,312,760,441,479,227,475,39,634,584,615,640
"RNF34",102,90,107,51,88,76,117,85,66,92,81,33,91,184,157,210
"KDM2B",58,84,143,83,115,86,74,111,107,181,121,44,138,341,326,438
"MIR7107",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"KDM2B-DT",0,2,0,0,2,5,1,6,4,5,7,1,0,12,3,6
"LOC105370033",0,2,1,0,0,3,0,3,3,9,3,1,0,9,2,5
"ORAI1",3,15,18,6,20,12,8,24,14,23,16,6,20,29,39,34
"MORN3",4,13,6,1,14,12,15,6,5,24,21,7,9,24,39,48
"LOC105370034",0,1,0,2,0,0,4,1,2,2,3,3,3,3,2,12
"TMEM120B",57,60,68,22,55,67,63,131,50,87,66,13,55,73,118,139
"RHOF",9,8,12,9,10,19,7,29,9,37,22,10,12,33,44,73
"LOC107984442",0,1,4,0,3,1,3,3,0,16,3,3,0,11,12,14
"LINC01089",63,96,111,45,68,56,119,75,121,179,64,35,78,261,282,281
"SETD1B",71,68,72,39,65,57,115,101,158,515,84,83,72,223,305,356
"HPD",0,0,0,0,4,0,0,0,1,0,4,2,1,1,1,3
"LOC105370035",0,0,0,0,3,1,0,1,0,0,1,0,1,1,2,2
"PSMD9",115,75,70,23,41,34,124,42,51,28,28,5,55,52,48,47
"CFAP251",46,13,24,9,9,46,200,18,75,10,40,0,26,72,50,55
"BCL7A",167,71,69,41,57,80,126,148,201,162,59,30,56,253,246,337
"LINC02985",0,0,2,0,0,0,2,3,0,0,0,0,0,5,6,5
"MLXIP",124,63,96,58,83,102,156,115,225,345,100,64,85,332,382,476
"LRRC43",0,6,1,1,5,2,1,10,1,0,1,0,0,1,3,0
"IL31",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"B3GNT4",30,33,15,5,25,19,29,56,16,13,22,2,19,25,16,41
"DIABLO",74,57,68,23,61,39,58,91,34,34,59,6,58,82,90,91
"LOC101593348",0,2,1,1,3,0,2,5,3,1,2,1,1,5,2,4
"VPS33A",103,69,105,38,84,62,113,138,105,64,98,15,84,187,155,185
"CLIP1",283,399,462,156,357,276,416,541,251,182,735,35,689,337,346,361
"CLIP1-AS1",1,2,8,2,2,3,4,6,2,5,13,1,10,4,14,9
"ZCCHC8",159,138,105,57,98,98,173,108,137,64,108,9,147,225,243,211
"RSRC2",220,139,263,95,144,100,186,136,190,180,147,48,215,558,405,542
"KNTC1",189,132,178,149,153,87,218,135,345,186,159,25,312,910,702,714
"MIR9902-1",3,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
"HCAR2",300,212,37,5,49,56,31,7,12,3,107,0,143,4,9,4
"MIR9902-2",3,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
"HCAR3",131,100,36,5,69,30,14,2,8,4,195,0,198,4,6,7
"HCAR1",1191,571,391,21,9,7,473,2,36,2,8,2,141,12,28,40
"DENR",382,171,147,61,120,91,213,150,185,98,144,18,222,354,282,267
"CCDC62",11,16,16,9,8,18,18,30,9,7,17,4,17,25,18,17
"HIP1R",352,127,133,48,471,180,335,365,321,229,473,65,334,177,227,259
"VPS37B",107,55,79,41,52,93,112,30,127,136,194,30,152,178,180,182
"ABCB9",22,29,17,7,97,23,42,81,34,13,58,11,82,14,19,17
"OGFOD2",66,68,42,11,55,49,106,92,54,40,40,2,41,48,78,71
"ARL6IP4",189,161,135,47,178,152,351,292,334,148,180,23,123,126,169,170
"PITPNM2",7,38,88,57,39,38,94,78,393,1995,24,252,20,2144,2205,2944
"MIR4304",0,0,0,0,0,0,0,0,0,3,0,2,0,4,8,6
"PITPNM2-AS1",1,4,7,5,3,4,11,2,52,138,3,31,1,235,191,246
"MPHOSPH9",259,140,269,189,229,205,347,343,544,510,294,60,293,1924,1309,1750
"MTRFR",60,30,39,36,42,28,53,33,99,114,42,8,33,301,235,354
"CDK2AP1",196,274,329,92,173,60,248,114,170,96,131,6,284,292,251,243
"SBNO1",872,640,637,304,481,454,764,642,620,398,435,89,588,1260,1020,1144
"MIR8072",3,3,2,0,4,2,1,1,1,2,1,2,2,1,2,3
"SBNO1-AS1",3,6,5,0,2,2,4,1,2,6,0,0,5,5,3,4
"KMT5A",151,69,62,23,70,53,97,73,68,56,43,14,63,52,71,76
"RILPL2",31,40,54,15,37,17,64,16,12,12,44,13,60,55,67,40
"SNRNP35",127,101,98,36,48,57,115,91,95,74,49,11,71,96,143,143
"RILPL1",193,162,104,23,48,51,157,102,51,10,59,5,41,17,23,33
"MIR3908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMED2-DT",30,12,19,5,12,1,26,21,30,9,10,3,23,31,37,33
"TMED2",773,538,546,162,368,211,581,352,321,133,371,26,548,473,446,412
"DDX55",56,118,86,50,86,55,132,157,135,91,120,17,122,216,198,191
"LOC105370041",6,5,7,10,7,3,16,23,12,8,11,2,12,21,17,18
"SNORA9B",17,21,15,9,10,20,9,11,17,4,14,3,26,24,18,21
"EIF2B1",96,88,84,46,89,94,120,102,84,36,97,11,135,132,131,153
"GTF2H3",254,138,179,62,105,62,178,135,125,60,79,8,156,207,134,134
"TCTN2",115,73,55,12,47,30,103,24,68,6,50,5,63,22,40,24
"ATP6V0A2",135,140,141,66,135,62,145,134,147,86,153,9,148,322,260,334
"LOC105370042",6,2,3,0,6,4,10,4,9,9,5,1,9,24,10,15
"DNAH10",20,35,14,2,11,7,44,9,17,7,13,2,6,20,21,26
"LOC105370044",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
"CCDC92",44,59,58,15,24,26,76,25,33,56,32,12,36,100,113,114
"ZNF664-RFLNA",7,5,4,2,16,3,10,5,4,0,11,1,6,0,2,5
"ZNF664",455,508,315,154,552,164,973,355,521,115,359,25,569,297,407,406
"RFLNA",1,0,1,2,4,0,0,0,0,0,1,0,3,0,2,1
"NCOR2",75,124,183,42,127,261,152,403,147,319,236,99,180,185,285,351
"MIR6880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370047",3,7,15,1,9,19,17,29,14,33,16,6,7,21,39,32
"LOC101927436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCARB1",58,24,53,10,21,35,12,23,56,13,24,9,26,18,29,60
"LOC105370050",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"LOC107984444",0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
"LOC105370051",2,1,2,0,2,2,0,0,0,0,1,1,1,1,1,1
"UBC",453,392,589,178,659,609,770,760,457,832,1182,200,679,519,1020,1221
"MIR5188",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"TRA-TGC3-2",1,1,3,5,3,1,0,1,0,13,0,5,1,12,6,10
"TRD-GTC2-9",10,50,126,29,62,81,5,32,12,164,33,264,73,42,47,57
"TRF-GAA1-4",0,1,3,0,0,2,0,1,0,0,0,0,0,0,165,3
"TRD-GTC2-10",11,56,125,30,63,80,7,34,13,110,34,248,74,22,42,55
"TRA-TGC4-1",4,3,1,3,2,1,0,2,1,88,0,11,0,8,23,68
"DHX37",28,26,29,15,47,36,49,71,48,28,61,13,51,45,60,80
"BRI3BP",48,109,93,71,523,76,64,103,116,114,135,16,532,199,175,197
"THRIL",8,12,10,12,91,10,10,17,12,21,20,5,89,26,26,31
"LOC105370052",1,4,4,0,22,0,0,1,4,0,1,0,19,1,6,4
"AACS",49,87,29,13,542,60,56,119,70,65,257,13,662,101,114,107
"LOC105370053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM132B",0,0,1,4,18,1,5,1,1,0,0,0,13,1,4,1
"LOC105370054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984445",0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0
"LOC105370055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00939",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"LINC02826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"LOC105370058",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"LOC105370056",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LINC02359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984447",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105379613",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"LOC101927531",0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
"LOC107984448",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"LINC02825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02350",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LINC02347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100996671",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"LINC02824",5,0,1,0,0,3,0,0,0,0,0,0,4,1,0,0
"LINC00944",13,7,7,1,0,14,6,0,2,0,1,1,15,0,0,2
"LINC00943",18,8,8,7,2,15,11,5,6,0,3,1,20,1,0,1
"LINC02372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984449",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"LOC107984450",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"LOC105370062",0,0,0,0,0,5,0,4,0,0,2,0,8,0,0,0
"LOC105370064",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"LINC02376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LOC105370067",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LINC02411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370068",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC02393",0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1
"LINC00508",0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0
"LINC00507",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"LINC02441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107987176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM132C",2,0,0,1,1,1,16,2,0,1,0,0,4,7,8,12
"MIR3612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC15A4",224,158,142,69,79,81,278,127,138,108,87,11,131,137,230,245
"LOC100128276",0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0
"GLT1D1",0,0,0,2,18,24,1,3,1,5,19,2,22,2,8,10
"LOC105370073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM132D",0,0,2,0,3,1,0,2,0,1,0,0,24,3,0,0
"TMEM132D-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM132D-AS2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"LOC105370074",0,0,0,0,1,0,0,0,0,0,2,0,26,0,0,0
"LOC105370076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02418",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LOC105370077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FZD10-AS1",0,0,1,5,0,1,0,2,0,2,0,0,6,3,14,1
"FZD10",2,0,0,2,2,0,1,3,0,0,0,1,2,1,4,1
"LOC107984480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101927786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIWIL1",1,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0
"RIMBP2",23,32,16,0,103,9,43,29,5,2,8,0,24,7,6,11
"LOC105370079",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LOC105370080",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984451",2,0,3,0,3,6,7,3,3,11,0,0,5,12,13,7
"STX2",144,167,133,32,72,41,371,65,83,93,86,23,62,419,542,183
"RAN",417,438,362,171,282,114,489,223,246,251,266,35,670,803,585,550
"ADGRD1",0,0,6,1,9,10,9,2,7,5,4,0,28,3,8,11
"ADGRD1-AS1",0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0
"LOC107984452",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LINC01257",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"LOC105370082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LOC107987177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100128002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105370083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101929974",0,1,1,0,1,0,0,0,0,2,0,0,3,0,1,7
"LOC105370084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02414",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"LOC105370086",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LOC100996701",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"LOC105370087",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"SFSWAP",164,157,235,82,137,132,210,199,225,254,167,72,127,474,438,462
"LOC105370088",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"MMP17",10,4,9,1,3,2,48,3,3,1,3,0,2,0,1,0
"ULK1",85,58,100,18,78,116,120,159,79,204,91,30,59,110,154,178
"LOC107984455",0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2
"PUS1",35,41,16,12,66,27,26,54,48,27,46,9,51,44,57,48
"EP400",556,320,409,104,223,258,370,330,334,381,280,78,233,367,408,519
"SNORA49",9819,1739,1937,700,1588,1989,4089,2288,1219,1184,4264,352,1486,950,840,1224
"EP400P1",9,11,13,4,17,11,19,17,29,11,14,1,11,13,22,20
"DDX51",65,57,67,17,44,36,104,83,80,59,43,15,32,65,79,96
"NOC4L",12,9,13,9,4,8,11,23,13,36,11,8,4,7,8,15
"LOC105370090",9,10,0,0,2,7,1,1,6,3,2,2,3,5,6,3
"LOC107984456",13,11,5,0,3,4,6,1,12,1,0,0,0,1,1,4
"LINC02361",22,43,14,4,6,30,35,28,19,16,3,11,8,36,55,69
"GALNT9",97,107,70,10,19,42,313,10,53,5,0,0,4,1,1,1
"LOC105370091",63,60,41,6,22,38,89,18,89,2,0,1,9,0,0,4
"GALNT9-AS1",53,158,81,21,38,75,166,51,90,1,0,0,13,0,0,0
"LOC101928416",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"LOC105370092",1,3,22,6,2,3,53,1,3,4,0,1,0,10,4,13
"LOC112268102",6,1,5,0,2,1,8,0,3,5,3,1,0,3,2,10
"MUC8",1,1,7,2,0,1,1,0,5,0,0,2,1,0,0,3
"FBRSL1",53,61,61,22,48,50,74,37,100,177,45,35,24,74,111,128
"MIR6763",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"LOC105370094",0,2,0,1,25,3,21,2,11,0,10,0,8,0,0,2
"LRCOL1",6,20,2,11,59,1,142,0,20,3,38,0,15,1,1,1
"P2RX2",21,23,5,7,5,0,65,4,8,12,9,2,13,12,16,22
"POLE",99,110,169,85,95,63,98,122,408,374,96,34,114,536,509,732
"PXMP2",23,19,29,3,8,4,28,21,22,55,16,2,12,21,43,51
"PGAM5",74,86,40,30,102,32,74,115,73,30,80,16,95,88,74,124
"ANKLE2",334,359,250,136,303,247,933,331,447,197,518,40,516,613,476,665
